alpha,beta,lambda,rho,status,expected_return,risk_value,risk_bound,risk_slack,similarity,objective,effective_assets,w_招商银行,w_长江电力,w_美的集团,w_迈瑞医疗
0.0,0.0,0.0,1.0,optimal,0.00016262917736431474,0.0007158397231521562,0.014614948828691503,0.013899109105539348,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.1,0.0,1.0,optimal,0.00016262917736431474,0.0008879558280279714,0.014252885615776806,0.013364929787748834,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.2,0.0,1.0,optimal,0.00016262917736431474,0.0010600719329037867,0.013890822402862109,0.012830750469958322,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.3,0.0,1.0,optimal,0.00016262917736431474,0.0012321880377796019,0.013528759189947408,0.012296571152167805,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.4,0.0,1.0,optimal,0.00016262917736431474,0.0014043041426554169,0.01316669597703271,0.011762391834377293,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.5,0.0,1.0,optimal,0.00016262917736431474,0.0015764202475312323,0.012804632764118013,0.011228212516586782,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.6,0.0,1.0,optimal,0.00016262917736431474,0.0017485363524070473,0.012442569551203316,0.01069403319879627,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.7,0.0,1.0,optimal,0.00016262917736431474,0.0019206524572828627,0.012080506338288617,0.010159853881005754,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.8,0.0,1.0,optimal,0.00016262917736431474,0.0020927685621586777,0.01171844312537392,0.009625674563215243,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,0.9,0.0,1.0,optimal,0.00016262917736431474,0.0022648846670344927,0.01135637991245922,0.009091495245424727,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,optimal,0.00016262917736431474,0.002437000771910308,0.010994316699544524,0.008557315927634215,1.0,0.00016262917736431474,1.0,1.0,0.0,0.0,0.0
0.1,0.0,0.0,1.0,optimal,0.00024725549938868144,0.0007158397231521562,0.014614948828691503,0.013899109105539348,1.0,0.00024725549938868144,1.0,1.0,0.0,0.0,0.0
